nohup: ignoring input
INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=10, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
[17:31:58] src/base.cc:51: Upgrade advisory: this mxnet has been built against cuda library version 9000, which is older than the oldest version tested by CI (10000).  Set MXNET_CUDA_LIB_CHECKING=0 to quiet this warning.
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [5500-5600]	Speed: 48150.53 samples/sec	cross_entropy=53.455914
INFO:root:Epoch[0] Batch [5600-5700]	Speed: 48149.27 samples/sec	cross_entropy=53.916977
INFO:root:Epoch[0] Batch [5700-5800]	Speed: 48899.82 samples/sec	cross_entropy=53.663383
INFO:root:Epoch[0] Batch [5800-5900]	Speed: 50386.00 samples/sec	cross_entropy=54.120560
INFO:root:Epoch[0] Batch [5900-6000]	Speed: 49218.56 samples/sec	cross_entropy=53.731705
INFO:root:Epoch[0] Batch [6000-6100]	Speed: 49883.99 samples/sec	cross_entropy=54.288662
INFO:root:Epoch[0] Batch [6100-6200]	Speed: 49502.95 samples/sec	cross_entropy=52.794769
INFO:root:Epoch[0] Batch [6200-6300]	Speed: 50117.80 samples/sec	cross_entropy=54.849628
INFO:root:Epoch[0] Batch [6300-6400]	Speed: 49882.85 samples/sec	cross_entropy=52.922680
INFO:root:Epoch[0] Batch [6400-6500]	Speed: 48772.24 samples/sec	cross_entropy=53.525833
INFO:root:Epoch[0] Batch [6500-6600]	Speed: 49892.72 samples/sec	cross_entropy=54.094627
INFO:root:Epoch[0] Batch [6600-6700]	Speed: 48277.48 samples/sec	cross_entropy=54.407970
INFO:root:Epoch[0] Batch [6700-6800]	Speed: 49417.99 samples/sec	cross_entropy=54.153564
INFO:root:Epoch[0] Batch [6800-6900]	Speed: 49299.33 samples/sec	cross_entropy=54.457436
INFO:root:Epoch[0] Batch [6900-7000]	Speed: 49467.54 samples/sec	cross_entropy=53.993149
INFO:root:Epoch[0] Batch [7000-7100]	Speed: 48954.20 samples/sec	cross_entropy=53.212860
INFO:root:Epoch[0] Batch [7100-7200]	Speed: 48849.86 samples/sec	cross_entropy=52.304375
INFO:root:Epoch[0] Batch [7200-7300]	Speed: 44805.27 samples/sec	cross_entropy=52.048355
INFO:root:Epoch[0] Batch [7300-7400]	Speed: 49104.80 samples/sec	cross_entropy=51.583481
INFO:root:Epoch[0] Batch [7400-7500]	Speed: 47513.05 samples/sec	cross_entropy=53.715553
INFO:root:Epoch[0] Batch [7500-7600]	Speed: 45949.06 samples/sec	cross_entropy=51.346024
INFO:root:Epoch[0] Batch [7600-7700]	Speed: 50254.93 samples/sec	cross_entropy=52.951817
INFO:root:Epoch[0] Batch [7700-7800]	Speed: 49105.61 samples/sec	cross_entropy=52.153843
INFO:root:Epoch[0] Batch [7800-7900]	Speed: 50443.07 samples/sec	cross_entropy=53.817833
INFO:root:Epoch[0] Batch [7900-8000]	Speed: 49893.37 samples/sec	cross_entropy=52.351452
INFO:root:Epoch[0] Batch [8000-8100]	Speed: 50167.19 samples/sec	cross_entropy=51.677109
INFO:root:Epoch[0] Batch [8100-8200]	Speed: 50054.25 samples/sec	cross_entropy=53.955544
INFO:root:Epoch[0] Batch [8200-8300]	Speed: 49543.79 samples/sec	cross_entropy=53.973778
INFO:root:Epoch[0] Batch [8300-8400]	Speed: 51005.74 samples/sec	cross_entropy=53.474072
INFO:root:Epoch[0] Batch [8400-8500]	Speed: 50430.23 samples/sec	cross_entropy=53.801781
INFO:root:Epoch[0] Batch [8500-8600]	Speed: 50822.58 samples/sec	cross_entropy=53.961323
INFO:root:Epoch[0] Batch [8600-8700]	Speed: 50021.68 samples/sec	cross_entropy=51.992832
INFO:root:Epoch[0] Batch [8700-8800]	Speed: 47040.75 samples/sec	cross_entropy=52.697227
INFO:root:Epoch[0] Batch [8800-8900]	Speed: 45875.97 samples/sec	cross_entropy=52.686699
INFO:root:Epoch[0] Batch [8900-9000]	Speed: 46544.73 samples/sec	cross_entropy=53.247326
INFO:root:Epoch[0] Batch [9000-9100]	Speed: 51153.00 samples/sec	cross_entropy=53.453682
INFO:root:Epoch[0] Batch [9100-9200]	Speed: 50190.71 samples/sec	cross_entropy=54.022152
INFO:root:Epoch[0] Batch [9200-9300]	Speed: 47052.15 samples/sec	cross_entropy=54.152031
INFO:root:Epoch[0] Batch [9300-9400]	Speed: 47449.16 samples/sec	cross_entropy=52.083878
INFO:root:Epoch[0] Batch [9400-9500]	Speed: 50275.78 samples/sec	cross_entropy=53.192436
