INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=3, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [5700-5800]	Speed: 65446.60 samples/sec	cross_entropy=54.290474
INFO:root:Epoch[0] Batch [5800-5900]	Speed: 66819.49 samples/sec	cross_entropy=53.801914
INFO:root:Epoch[0] Batch [5900-6000]	Speed: 66273.57 samples/sec	cross_entropy=53.425709
INFO:root:Epoch[0] Batch [6000-6100]	Speed: 67255.06 samples/sec	cross_entropy=53.519760
INFO:root:Epoch[0] Batch [6100-6200]	Speed: 65891.24 samples/sec	cross_entropy=53.703476
INFO:root:Epoch[0] Batch [6200-6300]	Speed: 67465.67 samples/sec	cross_entropy=53.567142
INFO:root:Epoch[0] Batch [6300-6400]	Speed: 67413.95 samples/sec	cross_entropy=53.510151
INFO:root:Epoch[0] Batch [6400-6500]	Speed: 67826.43 samples/sec	cross_entropy=53.545406
INFO:root:Epoch[0] Batch [6500-6600]	Speed: 68278.21 samples/sec	cross_entropy=54.361462
INFO:root:Epoch[0] Batch [6600-6700]	Speed: 67254.64 samples/sec	cross_entropy=53.000313
INFO:root:Epoch[0] Batch [6700-6800]	Speed: 60410.44 samples/sec	cross_entropy=53.645798
INFO:root:Epoch[0] Batch [6800-6900]	Speed: 62332.08 samples/sec	cross_entropy=53.113014
INFO:root:Epoch[0] Batch [6900-7000]	Speed: 62221.63 samples/sec	cross_entropy=54.168285
INFO:root:Epoch[0] Batch [7000-7100]	Speed: 59046.08 samples/sec	cross_entropy=53.067245
INFO:root:Epoch[0] Batch [7100-7200]	Speed: 66297.79 samples/sec	cross_entropy=52.907749
INFO:root:Epoch[0] Batch [7200-7300]	Speed: 60488.65 samples/sec	cross_entropy=52.865444
INFO:root:Epoch[0] Batch [7300-7400]	Speed: 64974.69 samples/sec	cross_entropy=53.906353
INFO:root:Epoch[0] Batch [7400-7500]	Speed: 66260.28 samples/sec	cross_entropy=53.176167
INFO:root:Epoch[0] Batch [7500-7600]	Speed: 59006.11 samples/sec	cross_entropy=54.121914
INFO:root:Epoch[0] Batch [7600-7700]	Speed: 63318.05 samples/sec	cross_entropy=51.796696
INFO:root:Epoch[0] Batch [7700-7800]	Speed: 67039.39 samples/sec	cross_entropy=52.537807
INFO:root:Epoch[0] Batch [7800-7900]	Speed: 62966.24 samples/sec	cross_entropy=53.744923
INFO:root:Epoch[0] Batch [7900-8000]	Speed: 64111.95 samples/sec	cross_entropy=53.469395
INFO:root:Epoch[0] Batch [8000-8100]	Speed: 66247.40 samples/sec	cross_entropy=53.754658
INFO:root:Epoch[0] Batch [8100-8200]	Speed: 64420.71 samples/sec	cross_entropy=53.486401
INFO:root:Epoch[0] Batch [8200-8300]	Speed: 64973.55 samples/sec	cross_entropy=52.507484
INFO:root:Epoch[0] Batch [8300-8400]	Speed: 61444.31 samples/sec	cross_entropy=55.100014
INFO:root:Epoch[0] Batch [8400-8500]	Speed: 66570.68 samples/sec	cross_entropy=52.228096
INFO:root:Epoch[0] Batch [8500-8600]	Speed: 61055.76 samples/sec	cross_entropy=54.306255
INFO:root:Epoch[0] Batch [8600-8700]	Speed: 64060.16 samples/sec	cross_entropy=53.497574
INFO:root:Epoch[0] Batch [8700-8800]	Speed: 57265.04 samples/sec	cross_entropy=53.102276
INFO:root:Epoch[0] Batch [8800-8900]	Speed: 66408.75 samples/sec	cross_entropy=54.145546
INFO:root:Epoch[0] Batch [8900-9000]	Speed: 66506.23 samples/sec	cross_entropy=53.580128
INFO:root:Epoch[0] Batch [9000-9100]	Speed: 66341.99 samples/sec	cross_entropy=52.706100
INFO:root:Epoch[0] Batch [9100-9200]	Speed: 66405.87 samples/sec	cross_entropy=54.266632
INFO:root:Epoch[0] Batch [9200-9300]	Speed: 65199.97 samples/sec	cross_entropy=52.064072
INFO:root:Epoch[0] Batch [9300-9400]	Speed: 65753.72 samples/sec	cross_entropy=51.785645
INFO:root:Epoch[0] Batch [9400-9500]	Speed: 66756.93 samples/sec	cross_entropy=53.951275
INFO:root:Epoch[0] Batch [9500-9600]	Speed: 65371.33 samples/sec	cross_entropy=52.915462
INFO:root:Epoch[0] Batch [9600-9700]	Speed: 62593.52 samples/sec	cross_entropy=53.628101
INFO:root:Epoch[0] Batch [9700-9800]	Speed: 64872.82 samples/sec	cross_entropy=53.182220
INFO:root:Epoch[0] Batch [9800-9900]	Speed: 64178.13 samples/sec	cross_entropy=51.322247
INFO:root:Epoch[0] Batch [9900-10000]	Speed: 65092.62 samples/sec	cross_entropy=52.995537
INFO:root:Epoch[0] Batch [10000-10100]	Speed: 66461.28 samples/sec	cross_entropy=52.140549
INFO:root:Epoch[0] Batch [10100-10200]	Speed: 62556.15 samples/sec	cross_entropy=53.840710
INFO:root:Epoch[0] Batch [10200-10300]	Speed: 66989.62 samples/sec	cross_entropy=52.881401
INFO:root:Epoch[0] Batch [10300-10400]	Speed: 60224.35 samples/sec	cross_entropy=51.639172
INFO:root:Epoch[0] Batch [10400-10500]	Speed: 63235.19 samples/sec	cross_entropy=54.672928
INFO:root:Epoch[0] Batch [10500-10600]	Speed: 65927.89 samples/sec	cross_entropy=52.197052
INFO:root:Epoch[0] Batch [10600-10700]	Speed: 65132.07 samples/sec	cross_entropy=53.844570
INFO:root:Epoch[0] Batch [10700-10800]	Speed: 66179.09 samples/sec	cross_entropy=52.419418
INFO:root:Epoch[0] Batch [10800-10900]	Speed: 65717.18 samples/sec	cross_entropy=52.440113
INFO:root:Epoch[0] Batch [10900-11000]	Speed: 65079.36 samples/sec	cross_entropy=52.869038
INFO:root:Epoch[0] Batch [11000-11100]	Speed: 66655.36 samples/sec	cross_entropy=51.888466
INFO:root:Epoch[0] Batch [11100-11200]	Speed: 66806.52 samples/sec	cross_entropy=52.405128
INFO:root:Epoch[0] Batch [11200-11300]	Speed: 65472.38 samples/sec	cross_entropy=51.609493
INFO:root:Epoch[0] Batch [11300-11400]	Speed: 65504.34 samples/sec	cross_entropy=53.529037
INFO:root:Epoch[0] Batch [11400-11500]	Speed: 65466.35 samples/sec	cross_entropy=51.150875
INFO:root:Epoch[0] Batch [11500-11600]	Speed: 63080.80 samples/sec	cross_entropy=53.314732
INFO:root:Epoch[0] Batch [11600-11700]	Speed: 66100.05 samples/sec	cross_entropy=51.285713
INFO:root:Epoch[0] Batch [11700-11800]	Speed: 66102.17 samples/sec	cross_entropy=52.514496
INFO:root:Epoch[0] Batch [11800-11900]	Speed: 61781.77 samples/sec	cross_entropy=52.315567
INFO:root:Epoch[0] Batch [11900-12000]	Speed: 66766.89 samples/sec	cross_entropy=53.686310
INFO:root:Epoch[0] Batch [12000-12100]	Speed: 66578.73 samples/sec	cross_entropy=51.549572
INFO:root:Epoch[0] Batch [12100-12200]	Speed: 66827.60 samples/sec	cross_entropy=52.326462
INFO:root:Epoch[0] Batch [12200-12300]	Speed: 62802.83 samples/sec	cross_entropy=52.568748
INFO:root:Epoch[0] Batch [12300-12400]	Speed: 63580.09 samples/sec	cross_entropy=51.906727
INFO:root:Epoch[0] Batch [12400-12500]	Speed: 66888.80 samples/sec	cross_entropy=53.244263
INFO:root:Epoch[0] Batch [12500-12600]	Speed: 66317.86 samples/sec	cross_entropy=51.676289
INFO:root:Epoch[0] Batch [12600-12700]	Speed: 65769.79 samples/sec	cross_entropy=52.687332
INFO:root:Epoch[0] Batch [12700-12800]	Speed: 67285.83 samples/sec	cross_entropy=52.022606
INFO:root:Epoch[0] Batch [12800-12900]	Speed: 67048.27 samples/sec	cross_entropy=52.044979
INFO:root:Epoch[0] Batch [12900-13000]	Speed: 67228.91 samples/sec	cross_entropy=52.865459
INFO:root:Epoch[0] Batch [13000-13100]	Speed: 66806.77 samples/sec	cross_entropy=52.314663
INFO:root:Epoch[0] Batch [13100-13200]	Speed: 65018.79 samples/sec	cross_entropy=50.903332
INFO:root:Epoch[0] Batch [13200-13300]	Speed: 66574.11 samples/sec	cross_entropy=52.774036
INFO:root:Epoch[0] Batch [13300-13400]	Speed: 67241.20 samples/sec	cross_entropy=51.969429
INFO:root:Epoch[0] Batch [13400-13500]	Speed: 66749.17 samples/sec	cross_entropy=52.698082
INFO:root:Epoch[0] Batch [13500-13600]	Speed: 63934.55 samples/sec	cross_entropy=52.244247
INFO:root:Epoch[0] Batch [13600-13700]	Speed: 66304.30 samples/sec	cross_entropy=52.408478
INFO:root:Epoch[0] Batch [13700-13800]	Speed: 64843.91 samples/sec	cross_entropy=52.060253
INFO:root:Epoch[0] Batch [13800-13900]	Speed: 66384.36 samples/sec	cross_entropy=53.428329
INFO:root:Epoch[0] Batch [13900-14000]	Speed: 66644.85 samples/sec	cross_entropy=53.039452
INFO:root:Epoch[0] Batch [14000-14100]	Speed: 63971.69 samples/sec	cross_entropy=51.983265
INFO:root:Epoch[0] Batch [14100-14200]	Speed: 64678.33 samples/sec	cross_entropy=51.951710
INFO:root:Epoch[0] Batch [14200-14300]	Speed: 65966.45 samples/sec	cross_entropy=54.024342
INFO:root:Epoch[0] Batch [14300-14400]	Speed: 66625.00 samples/sec	cross_entropy=50.916847
INFO:root:Epoch[0] Batch [14400-14500]	Speed: 65422.04 samples/sec	cross_entropy=52.553814
INFO:root:Epoch[0] Batch [14500-14600]	Speed: 66030.22 samples/sec	cross_entropy=52.933956
INFO:root:Epoch[0] Batch [14600-14700]	Speed: 59044.40 samples/sec	cross_entropy=51.856133
INFO:root:Epoch[0] Batch [14700-14800]	Speed: 66696.64 samples/sec	cross_entropy=50.632538
INFO:root:Epoch[0] Batch [14800-14900]	Speed: 66629.13 samples/sec	cross_entropy=51.782139
INFO:root:Epoch[0] Batch [14900-15000]	Speed: 66609.87 samples/sec	cross_entropy=50.915390
INFO:root:Epoch[0] Batch [15000-15100]	Speed: 64894.66 samples/sec	cross_entropy=53.195507
INFO:root:Epoch[0] Batch [15100-15200]	Speed: 63061.83 samples/sec	cross_entropy=51.586304
INFO:root:Epoch[0] Batch [15200-15300]	Speed: 61951.84 samples/sec	cross_entropy=51.968212
INFO:root:Epoch[0] Batch [15300-15400]	Speed: 66181.37 samples/sec	cross_entropy=50.529667
INFO:root:Epoch[0] Batch [15400-15500]	Speed: 66975.50 samples/sec	cross_entropy=53.210419
INFO:root:Epoch[0] Batch [15500-15600]	Speed: 66532.40 samples/sec	cross_entropy=52.477455
INFO:root:Epoch[0] Batch [15600-15700]	Speed: 65947.49 samples/sec	cross_entropy=52.492310
INFO:root:Epoch[0] Batch [15700-15800]	Speed: 67005.72 samples/sec	cross_entropy=51.687138
INFO:root:Epoch[0] Batch [15800-15900]	Speed: 67053.84 samples/sec	cross_entropy=53.229916
INFO:root:Epoch[0] Batch [15900-16000]	Speed: 67110.16 samples/sec	cross_entropy=52.020058
INFO:root:Epoch[0] Batch [16000-16100]	Speed: 66507.80 samples/sec	cross_entropy=51.256516
INFO:root:Epoch[0] Batch [16100-16200]	Speed: 66046.14 samples/sec	cross_entropy=51.326492
INFO:root:Epoch[0] Batch [16200-16300]	Speed: 64210.14 samples/sec	cross_entropy=51.165947
INFO:root:Epoch[0] Batch [16300-16400]	Speed: 67065.56 samples/sec	cross_entropy=52.153675
INFO:root:Epoch[0] Batch [16400-16500]	Speed: 65869.21 samples/sec	cross_entropy=52.954567
INFO:root:Epoch[0] Batch [16500-16600]	Speed: 66179.33 samples/sec	cross_entropy=49.972790
INFO:root:Epoch[0] Batch [16600-16700]	Speed: 66261.26 samples/sec	cross_entropy=50.636959
INFO:root:Epoch[0] Batch [16700-16800]	Speed: 65484.16 samples/sec	cross_entropy=52.725277
INFO:root:Epoch[0] Batch [16800-16900]	Speed: 66689.01 samples/sec	cross_entropy=50.751640
INFO:root:Epoch[0] Batch [16900-17000]	Speed: 63844.46 samples/sec	cross_entropy=52.132877
INFO:root:Epoch[0] Batch [17000-17100]	Speed: 65452.95 samples/sec	cross_entropy=51.655621
INFO:root:Epoch[0] Batch [17100-17200]	Speed: 67067.28 samples/sec	cross_entropy=52.130936
INFO:root:Epoch[0] Batch [17200-17300]	Speed: 64394.51 samples/sec	cross_entropy=51.279251
INFO:root:Epoch[0] Batch [17300-17400]	Speed: 66226.76 samples/sec	cross_entropy=50.942085
INFO:root:Epoch[0] Batch [17400-17500]	Speed: 66343.84 samples/sec	cross_entropy=52.062885
INFO:root:Epoch[0] Batch [17500-17600]	Speed: 66521.97 samples/sec	cross_entropy=52.850746
INFO:root:Epoch[0] Batch [17600-17700]	Speed: 64617.96 samples/sec	cross_entropy=51.003098
INFO:root:Epoch[0] Batch [17700-17800]	Speed: 63962.58 samples/sec	cross_entropy=52.133945
INFO:root:Epoch[0] Batch [17800-17900]	Speed: 66107.91 samples/sec	cross_entropy=51.056419
INFO:root:Epoch[0] Batch [17900-18000]	Speed: 66732.00 samples/sec	cross_entropy=51.818180
INFO:root:Epoch[0] Batch [18000-18100]	Speed: 64781.86 samples/sec	cross_entropy=51.603771
INFO:root:Epoch[0] Batch [18100-18200]	Speed: 66822.16 samples/sec	cross_entropy=51.042095
INFO:root:Epoch[0] Batch [18200-18300]	Speed: 65189.01 samples/sec	cross_entropy=51.488194
INFO:root:Epoch[0] Batch [18300-18400]	Speed: 67194.83 samples/sec	cross_entropy=50.804272
INFO:root:Epoch[0] Batch [18400-18500]	Speed: 66107.91 samples/sec	cross_entropy=50.520004
INFO:root:Epoch[0] Batch [18500-18600]	Speed: 65536.44 samples/sec	cross_entropy=49.397881
INFO:root:Epoch[0] Batch [18600-18700]	Speed: 65608.92 samples/sec	cross_entropy=51.432667
INFO:root:Epoch[0] Batch [18700-18800]	Speed: 65639.68 samples/sec	cross_entropy=49.531719
INFO:root:Epoch[0] Batch [18800-18900]	Speed: 62748.11 samples/sec	cross_entropy=51.408688
INFO:root:Epoch[0] Batch [18900-19000]	Speed: 65951.62 samples/sec	cross_entropy=51.176758
INFO:root:Epoch[0] Batch [19000-19100]	Speed: 65835.68 samples/sec	cross_entropy=52.463642
INFO:root:Epoch[0] Batch [19100-19200]	Speed: 65958.14 samples/sec	cross_entropy=51.605103
INFO:root:Epoch[0] Batch [19200-19300]	Speed: 67094.77 samples/sec	cross_entropy=51.666256
INFO:root:Epoch[0] Batch [19300-19400]	Speed: 66281.59 samples/sec	cross_entropy=49.236938
INFO:root:Epoch[0] Batch [19400-19500]	Speed: 66976.17 samples/sec	cross_entropy=51.730259
INFO:root:Epoch[0] Batch [19500-19600]	Speed: 62816.97 samples/sec	cross_entropy=49.811695
INFO:root:Epoch[0] Batch [19600-19700]	Speed: 66357.82 samples/sec	cross_entropy=52.509605
INFO:root:Epoch[0] Batch [19700-19800]	Speed: 66226.56 samples/sec	cross_entropy=51.749844
INFO:root:Epoch[0] Batch [19800-19900]	Speed: 63017.42 samples/sec	cross_entropy=50.924706
INFO:root:Epoch[0] Batch [19900-20000]	Speed: 66788.90 samples/sec	cross_entropy=51.003109
INFO:root:Epoch[0] Batch [20000-20100]	Speed: 64355.57 samples/sec	cross_entropy=50.868229
INFO:root:Epoch[0] Batch [20100-20200]	Speed: 66810.47 samples/sec	cross_entropy=51.543560
INFO:root:Epoch[0] Batch [20200-20300]	Speed: 66893.09 samples/sec	cross_entropy=50.942471
INFO:root:Epoch[0] Batch [20300-20400]	Speed: 67399.14 samples/sec	cross_entropy=51.105724
INFO:root:Epoch[0] Batch [20400-20500]	Speed: 66861.93 samples/sec	cross_entropy=50.279892
INFO:root:Epoch[0] Batch [20500-20600]	Speed: 66253.00 samples/sec	cross_entropy=50.712067
INFO:root:Epoch[0] Batch [20600-20700]	Speed: 65754.85 samples/sec	cross_entropy=49.802216
INFO:root:Epoch[0] Batch [20700-20800]	Speed: 65777.81 samples/sec	cross_entropy=50.760395
INFO:root:Epoch[0] Batch [20800-20900]	Speed: 65866.38 samples/sec	cross_entropy=50.954750
INFO:root:Epoch[0] Batch [20900-21000]	Speed: 66655.94 samples/sec	cross_entropy=51.206161
INFO:root:Epoch[0] Batch [21000-21100]	Speed: 66454.49 samples/sec	cross_entropy=49.402676
